name,lat,lon,MGRS
"Delray Beach, FL, USA",26.459763,-80.105545,17RNK8916526911
"Rockledge, FL, USA",28.316528,-80.74659,17RNM2484232292
"Boca Raton, FL, USA",26.376032,-80.12236,17RNK8755217626
"New Castle, DE, USA",39.668564,-75.586189,18SVJ4972191136
"Milford, DE, USA",38.917534,-75.441925,18SVJ6168807718
"Lewes, DE, USA",38.781082,-75.15715,18SVH8635092495
"Roswell, NM, USA",33.400322,-104.534897,13SES4325095764
"West Haven, CT, USA",41.275898,-72.975739,18TXL6953671361
"Torrington, CT, USA",41.806595,-73.130592,18TXM5529029992
"Shelton, CT, USA",41.306583,-73.143768,18TXL5538974453
"Norwalk, CT, USA",41.12188,-73.436432,18TXL3125853465
"New Britain, CT, USA",41.681408,-72.794746,18TXM8354716753
"Middletown, CT, USA",41.562794,-72.68161,18TXM9331803831
"Belle Glade, FL, USA",26.687412,-80.681831,17RNK3165451853
"Bartow, FL, USA",27.891005,-81.847359,17RML1660085417
"Atlantic City, NJ, USA",39.370121,-74.438942,18SWJ4832958000
"Albany, GA, USA",31.594915,-84.224236,16RGV6337898880
"Jacksonville, IL, USA",39.74155,-90.256218,15SYE3510502672
"Idaho City, ID, USA",43.82885,-115.83786,11TNJ9344153520
"Coral Gables, FL, USA",25.750156,-80.27964,17RNJ7224448212
"Derby, CT, USA",41.329334,-73.094406,18TXL5946677068
"Bristol, CT, USA",41.685173,-72.962708,18TXM6955616827
"Ansonia, CT, USA",41.346439,-73.084938,18TXL6021778985
"Walsenburg, CO, USA",37.630322,-104.790543,13SEB1848164820
"Sterling, CO, USA",40.626743,-103.217026,13TFE5079798851
"Steamboat Springs, CO, USA",40.490429,-106.842384,13TCE4386183822
"Ouray, CO, USA",38.025131,-107.67588,13SBC6512411983
"Leadville, CO, USA",39.247478,-106.300194,13SCD8780545045
"Gunnison, CO, USA",38.547871,-106.938622,13SCC3106068386
"Fort Morgan, CO, USA",40.255306,-103.803062,13TFE0178956781
"Panama City, FL, USA",30.193626,-85.683029,16RFU2677740973
"Miami Beach, FL, USA",25.793449,-80.139198,17RNJ8629953092
"Cripple Creek, CO, USA",38.749077,-105.18306,13SDC8409288947
"Central City, CO, USA",39.803318,-105.51683,13SDE5575706055
"Ca�on City, CO, USA",38.444931,-105.24572,13SDC7855755211
"Brighton, CO, USA",39.969753,-104.836723,13SEE1394324412
"Stuttgart, AR, USA",34.497196,-91.560921,15SXU3212118226
"Osceola, AR, USA",35.705608,-89.992729,16SBE2923355426
"Newport, AR, USA",35.618671,-91.271286,15SXV5655943030
"Forrest City, AR, USA",35.010712,-90.797783,15SYU0094676447
"Crossett, AR, USA",33.132671,-91.971634,15SWS9592366465
"Camden, AR, USA",33.586617,-92.842979,15SWT1457016333
"Blytheville, AR, USA",35.934574,-89.92617,16SBE3601780649
"Window Rock, AZ, USA",35.67897,-109.067413,12SXE7489350063
"Globe, AZ, USA",33.395844,-110.793739,12SWB1918195190
"Palmer, AK, USA",61.600803,-149.125259,06VUP8724531550
"Tuskegee, AL, USA",32.429066,-85.715233,16SFA2078888722
"Troy, AL, USA",31.806484,-85.968628,16REA9762519449
"Scottsboro, AL, USA",34.650826,-86.088501,16SED8352834699
"Ozark, AL, USA",31.463181,-85.647202,16RFV2852381727
"Waukesha, WI, USA",43.0186,-88.259773,16TCN9734863650
